"x"
"1"	5
"2"	5
"3"	5
"4"	5
"5"	5
"6"	5
"7"	5
"8"	5
"9"	5
"10"	5
"11"	5
"12"	1
"13"	1
"14"	3
"15"	3
"16"	3
"17"	3
"18"	3
"19"	3
"20"	3
"21"	3
"22"	3
"23"	3
"24"	3
"25"	3
"26"	3
"27"	3
"28"	3
"29"	3
"30"	3
"31"	3
"32"	3
"33"	3
"34"	3
"35"	3
"36"	6
"37"	4
"38"	4
"39"	4
"40"	4
"41"	6
"42"	6
"43"	4
"44"	4
"45"	6
"46"	4
"47"	4
"48"	6
"49"	4
"50"	4
"51"	6
"52"	6
"53"	4
"54"	6
"55"	4
"56"	6
"57"	6
"58"	4
"59"	6
"60"	6
"61"	6
"62"	4
"63"	4
"64"	4
"65"	4
"66"	6
"67"	6
"68"	4
"69"	4
"70"	4
"71"	6
"72"	2
"73"	2
"74"	2
"75"	2
"76"	2
"77"	2
"78"	2
"79"	2
"80"	2
"81"	2
"82"	2
"83"	2
"84"	2
"85"	2
"86"	2
"87"	2
"88"	2
"89"	2
"90"	2
"91"	7
"92"	7
"93"	7
"94"	9
"95"	9
"96"	9
"97"	8
"98"	5
"99"	5
"100"	5
