"x"
"1"	3
"2"	3
"3"	3
"4"	3
"5"	3
"6"	3
"7"	3
"8"	3
"9"	3
"10"	3
"11"	3
"12"	6
"13"	6
"14"	5
"15"	5
"16"	5
"17"	5
"18"	5
"19"	5
"20"	5
"21"	5
"22"	5
"23"	5
"24"	5
"25"	5
"26"	5
"27"	5
"28"	5
"29"	5
"30"	5
"31"	5
"32"	5
"33"	5
"34"	5
"35"	5
"36"	1
"37"	1
"38"	1
"39"	1
"40"	1
"41"	1
"42"	1
"43"	1
"44"	1
"45"	1
"46"	1
"47"	1
"48"	1
"49"	1
"50"	1
"51"	1
"52"	1
"53"	1
"54"	1
"55"	1
"56"	1
"57"	1
"58"	1
"59"	1
"60"	1
"61"	1
"62"	1
"63"	1
"64"	1
"65"	1
"66"	1
"67"	1
"68"	1
"69"	1
"70"	1
"71"	1
"72"	4
"73"	4
"74"	4
"75"	4
"76"	4
"77"	4
"78"	4
"79"	4
"80"	4
"81"	4
"82"	4
"83"	4
"84"	4
"85"	4
"86"	4
"87"	4
"88"	4
"89"	4
"90"	4
"91"	7
"92"	7
"93"	7
"94"	2
"95"	2
"96"	2
"97"	6
"98"	3
"99"	3
"100"	3
